time[h],VCD,Glc,Gln,Amm,Lac,product,Product_ID,Exp_ID,Cmd_Temp,Cmd_pH,Cmd_Stirring,Cmd_Feed_Vol,Cmd_Feed_Glc_Mass,Cmd_Feed_Gln_Mass,Volume
0.0,0.2502916494284906,56.3245304560419,3.4434888316261496,0.1,0.1,0.0,NP,ExpNovel00,37.314662067297625,6.903765756351853,167.28385855378195,0.0,0.0,0.0,0.25
24.0,0.5901945460344675,53.72232736402669,2.475938585143292,0.8649885636107837,3.7115696061846366,0.0,NP,ExpNovel00,37.314662067297625,6.903765756351853,167.28385855378195,0.0,0.0,0.0,0.245
48.0,1.0755615155036695,48.34437105932325,1.6079409150020647,1.6192429085958024,9.981803245230443,25.9094378580506,NP,ExpNovel00,37.314662067297625,6.903765756351853,167.28385855378195,0.005,2.8122415636833544,0.1308447466595701,0.24
72.0,1.6449275986518217,52.6577008846579,1.1817137591117182,2.330812457437487,16.855290987851063,54.3888842829995,NP,ExpNovel00,37.314662067297625,6.903765756351853,167.28385855378195,0.005,2.8122415636833544,0.1308447466595701,0.24
96.0,2.2376992700142684,56.71269491268727,1.0113713332314251,3.0300739806235,22.61031411086732,91.66217317227522,NP,ExpNovel00,37.314662067297625,6.903765756351853,167.28385855378195,0.005,2.8122415636833544,0.1308447466595701,0.24
120.0,2.6759376191757274,60.90466761794157,1.1808952243692912,3.730476462631432,26.261638018787945,150.76842294266098,NP,ExpNovel00,37.314662067297625,6.903765756351853,167.28385855378195,0.005,2.8122415636833544,0.1308447466595701,0.24
144.0,3.0028850598397296,65.598563934516,1.4530396707536923,4.453779381564811,28.546650812543163,209.06502129152295,NP,ExpNovel00,37.314662067297625,6.903765756351853,167.28385855378195,0.005,2.8122415636833544,0.1308447466595701,0.24
168.0,3.217764479075455,69.73617634372056,1.7365407654817044,5.232702507778821,30.565990394123315,274.2867019813579,NP,ExpNovel00,37.314662067297625,6.903765756351853,167.28385855378195,0.005,2.8122415636833544,0.1308447466595701,0.24
192.0,3.2821375669954267,74.72028721697046,2.106352543837355,6.052351832622491,31.31044318090228,370.84213694609633,NP,ExpNovel00,37.314662067297625,6.903765756351853,167.28385855378195,0.005,2.8122415636833544,0.1308447466595701,0.24
216.0,3.151610741309715,81.1398391020295,2.541269989129744,6.710479547311658,30.62067019923633,442.0871890932127,NP,ExpNovel00,35.868530530245955,6.760927772675527,167.28385855378195,0.005,2.8122415636833544,0.1308447466595701,0.24
240.0,2.849221153096278,88.23862060399146,2.8913491871263584,7.305062792461173,30.342055903435572,530.4554090519398,NP,ExpNovel00,35.868530530245955,6.760927772675527,167.28385855378195,0.0,0.0,0.0,0.24
264.0,2.5491883945987857,85.00491928003666,2.8093965797129585,7.963914735632691,29.83393054169712,599.9600681985297,NP,ExpNovel00,35.868530530245955,6.760927772675527,167.28385855378195,0.0,0.0,0.0,0.235
288.0,2.338789300137689,83.27586967823378,2.731314145694374,8.58741541876445,29.176399008955947,673.1005300153672,NP,ExpNovel00,35.868530530245955,6.760927772675527,167.28385855378195,0.0,0.0,0.0,0.22999999999999998
312.0,2.011469810341775,81.33853967588286,2.575051052650944,9.137813515330048,28.268186703247594,735.6601014179502,NP,ExpNovel00,35.868530530245955,6.760927772675527,167.28385855378195,0.0,0.0,0.0,0.22499999999999998
336.0,1.8097686777195856,79.62548878294164,2.4746579079048803,9.712249861926775,27.8510637405654,794.5659260170937,NP,ExpNovel00,35.868530530245955,6.760927772675527,167.28385855378195,0.0,0.0,0.0,0.21999999999999997
0.0,0.3347878738377013,41.73873500295189,5.913277611858173,0.1,0.1,0.0,NP,ExpNovel01,36.8431413657748,7.048611745796962,162.07904172431793,0.0,0.0,0.0,0.25
24.0,1.0340762820511231,35.80657989729551,4.254695625493371,1.5143464683423258,6.9668275177957,11.56754436657093,NP,ExpNovel01,36.8431413657748,7.048611745796962,162.07904172431793,0.005,0.8688789183556082,0.3408835018332094,0.245
48.0,1.867217746335544,30.224104422784013,3.7218167230158983,3.034484040756294,16.486442649144898,25.379564675480925,NP,ExpNovel01,36.8431413657748,7.048611745796962,162.07904172431793,0.005,0.8688789183556082,0.3408835018332094,0.245
72.0,2.7303852299447495,25.792578382626132,3.822605931189301,4.6190698129562,22.02032201842279,68.48082707197185,NP,ExpNovel01,36.8431413657748,7.048611745796962,162.07904172431793,0.005,0.8688789183556082,0.3408835018332094,0.245
96.0,3.345542196432995,23.232012065217265,4.43698445595475,6.336964750830264,21.15441198245198,125.79096904709594,NP,ExpNovel01,36.8431413657748,7.048611745796962,162.07904172431793,0.005,0.8688789183556082,0.3408835018332094,0.245
120.0,3.658879567601887,20.22491435448729,5.098089428326528,8.066045342271549,19.715440985331295,214.39852708723456,NP,ExpNovel01,36.8431413657748,7.048611745796962,162.07904172431793,0.005,0.8688789183556082,0.3408835018332094,0.245
144.0,3.702917845151832,17.830533388355295,5.675654177122063,9.86083732160197,17.786449426745985,299.7988601060204,NP,ExpNovel01,36.8431413657748,7.048611745796962,162.07904172431793,0.005,0.8688789183556082,0.3408835018332094,0.245
168.0,3.5394430284430953,16.33361697299814,6.127386223015768,11.652501815086186,16.294684837505017,369.29322377421227,NP,ExpNovel01,36.8431413657748,7.048611745796962,162.07904172431793,0.005,0.8688789183556082,0.3408835018332094,0.245
192.0,3.1598575691345054,15.644850984234065,6.577358633588972,13.110194884568417,14.482636192475931,460.411481956545,NP,ExpNovel01,36.8431413657748,6.825336034116161,162.07904172431793,0.005,0.8688789183556082,0.3408835018332094,0.245
216.0,2.657460241104455,15.883273183620805,6.855246171395854,14.509411847072014,13.505118179095955,536.9799429852281,NP,ExpNovel01,36.8431413657748,6.825336034116161,162.07904172431793,0.005,0.8688789183556082,0.3408835018332094,0.245
240.0,2.1124159780841723,16.849554307754875,6.929445946686502,15.792037350601456,13.161761960936635,584.4521836058482,NP,ExpNovel01,36.8431413657748,6.825336034116161,162.07904172431793,0.0,0.0,0.0,0.245
264.0,1.801305871239164,15.39935772666834,6.071102057105558,17.13505083786425,11.991514780647496,653.4079734373046,NP,ExpNovel01,35.14335423993128,6.825336034116161,162.07904172431793,0.0,0.0,0.0,0.24
288.0,1.4490999226466184,14.181303552983692,5.32581282956856,18.20173164770896,11.323942156896646,703.0555768150789,NP,ExpNovel01,35.14335423993128,6.825336034116161,162.07904172431793,0.0,0.0,0.0,0.235
312.0,1.140565171667657,13.299594920621152,4.647409444214682,19.13313997701949,10.937147859281591,732.9415791145286,NP,ExpNovel01,35.14335423993128,6.825336034116161,162.07904172431793,0.0,0.0,0.0,0.22999999999999998
336.0,0.9088104402315824,12.807002990024609,4.051160630238702,19.929807848580555,10.14767122318186,771.4103572466935,NP,ExpNovel01,35.14335423993128,6.825336034116161,162.07904172431793,0.0,0.0,0.0,0.22499999999999998
0.0,0.2221500885631331,27.20854314599803,7.4776951929892785,0.1,0.1,0.0,NP,ExpNovel02,36.66738214182435,6.957567739582304,188.1735122864278,0.0,0.0,0.0,0.25
24.0,0.616084336363914,24.01224565948323,5.839653729580742,1.5893988848937806,3.959888185032334,13.663914297267912,NP,ExpNovel02,36.66738214182435,6.957567739582304,188.1735122864278,0.005,1.5745960333904114,0.4570834927209982,0.245
48.0,1.059975479688231,24.45398175660303,5.754571592243164,3.15209943765357,10.49455959582823,11.51446520938849,NP,ExpNovel02,36.66738214182435,6.957567739582304,188.1735122864278,0.005,1.5745960333904114,0.4570834927209982,0.245
72.0,1.4924623280858638,25.192173168211266,5.759215241050522,4.735870780590661,15.320845678816752,39.47223847761302,NP,ExpNovel02,36.66738214182435,6.957567739582304,188.1735122864278,0.005,1.5745960333904114,0.4570834927209982,0.245
96.0,1.8335047686655488,26.23084739326237,5.98347463550743,6.35210428219735,18.58679448530451,82.1643764826869,NP,ExpNovel02,36.66738214182435,6.957567739582304,188.1735122864278,0.005,1.5745960333904114,0.4570834927209982,0.245
120.0,1.9178860249767309,27.88338908588897,6.403978875389053,7.9352928880724,20.01106837552752,128.71536959951737,NP,ExpNovel02,36.66738214182435,6.957567739582304,188.1735122864278,0.005,1.5745960333904114,0.4570834927209982,0.245
144.0,1.939747514756561,30.611225821777634,6.831441500891792,9.532046195034994,20.672805252404306,173.5149441076052,NP,ExpNovel02,36.66738214182435,6.957567739582304,188.1735122864278,0.005,1.5745960333904114,0.4570834927209982,0.245
168.0,1.8412254031819533,32.86055421596159,7.167311651451147,11.094540301327616,20.624231960221778,214.46419385959905,NP,ExpNovel02,36.66738214182435,6.957567739582304,188.1735122864278,0.005,1.5745960333904114,0.4570834927209982,0.245
192.0,1.604184083709029,36.03005459774964,7.428547454094788,12.642901170630546,20.668477458519806,253.9788553225928,NP,ExpNovel02,36.66738214182435,6.957567739582304,188.1735122864278,0.005,1.5745960333904114,0.4570834927209982,0.245
216.0,1.3791863167581346,39.48574490464473,7.665536724912646,14.119234830483046,21.07303201626645,284.3703392501203,NP,ExpNovel02,36.66738214182435,6.957567739582304,188.1735122864278,0.005,1.5745960333904114,0.4570834927209982,0.245
240.0,1.1342007833962102,43.6297391543041,7.868933934259773,15.58478150182667,20.90628787207861,317.6413838061472,NP,ExpNovel02,36.66738214182435,6.957567739582304,188.1735122864278,0.005,1.5745960333904114,0.4570834927209982,0.245
264.0,0.9378234668395046,46.99092746365276,8.005228031142412,17.01506696543679,21.202702801579424,342.1855981367195,NP,ExpNovel02,36.66738214182435,6.957567739582304,188.1735122864278,0.005,1.5745960333904114,0.4570834927209982,0.245
